1.380560516680661465e+02 1.298513834984191817e+02 1.360175341244906804e+02
1.439081843377905443e+02 1.331268234433899806e+02 1.441762353284633775e+02
1.488413726863621775e+02 1.435118678697080838e+02 1.417369856450258112e+02
1.425416796953348637e+02 1.496716305293861922e+02 1.438208728984953382e+02
1.486306374201504639e+02 1.485026110926227148e+02 1.490798421633006967e+02
1.416224781262843067e+02 1.424924488738310799e+02 1.417224408151218711e+02
1.472105230548328620e+02 1.416736324348399307e+02 1.487535193592050859e+02
1.455321256148908162e+02 1.483843021653137839e+02 1.457502946922540161e+02
1.476256701388077488e+02 1.484516710574153535e+02 1.298146436437451996e+02
1.490065782044807747e+02 1.480557739181983550e+02 1.453672260487107053e+02
